sample_id,family_id,sex,population_abbreviation,production_year
HG00097,NaN,female,GBR,YR4
HG00099,NaN,female,GBR,YR3
HG00106,,,GBR,YR4
HG00116,GBR,,,YR5
HG00117,,,GBR,YR4
HG00119,GBR,,,YR5
HG00120,GBR,,,YR5
HG00126,NaN,male,GBR,YR4
HG00128,NaN,female,GBR,YR4
HG00133,NaN,female,GBR,YR4
HG00140,NaN,male,GBR,YR3
HG00146,NaN,female,GBR,YR4
HG00150,GBR,,,YR5
HG00232,NaN,female,GBR,YR4
HG00234,GBR,,,YR5
HG00235,,,GBR,YR4
HG00236,GBR,,,YR5
HG00243,NaN,male,GBR,YR4
HG00245,GBR,,,YR5
HG00253,,,GBR,YR4
HG00254,GBR,,,YR5
HG00258,,,GBR,YR4
HG00272,NaN,female,FIN,YR4
HG00280,NaN,male,FIN,YR3
HG00290,NaN,male,FIN,YR4
HG00320,NaN,female,FIN,YR4
HG00321,NaN,male,FIN,YR4
HG00323,NaN,female,FIN,YR3
HG00329,NaN,male,FIN,YR4
HG00344,NaN,female,FIN,YR4
HG00350,NaN,female,FIN,YR4
HG00355,FIN,,,YR5
HG00375,FIN,,,YR5
HG00408,SH002,female,CHS,YR3
HG00423,SH007,female,CHS,YR2
HG00438,SH012,female,CHS,YR1
HG00544,SH042,female,CHS,YR2
HG00558,SH045,female,CHS,YR3
HG00580,CHS,,,YR5
HG00584,CHS,,,YR5
HG00597,SH058,female,CHS,YR3
HG00609,SH062,male,CHS,YR2
HG00621,SH066,male,CHS,YR1
HG00639,PR03,female,PUR,YR3
HG00642,PR04,male,PUR,YR2
HG00658,SH074,male,CHS,YR3
HG00662,,,CHS,YR4
HG00673,SH079,male,CHS,YR1
HG00689,CHS,,,YR5
HG00701,,,CHS,YR4
HG00706,SH090,male,CHS,YR2
HG00735,PR06,female,PUR,YR1
HG00738,PR07,male,PUR,YR2
HG00741,PR09,female,PUR,YR1
HG00867,NaN,female,CDX,YR4
HG01028,,,CDX,YR4
HG01048,,,PUR,YR4
HG01067,PUR,,,YR5
HG01071,PR17,female,PUR,YR1
HG01074,PR18,male,PUR,YR3
HG01081,PR21,female,PUR,YR3
HG01099,PR31,male,PUR,YR2
HG01106,PR25,male,PUR,YR1
HG01123,CLM02,female,CLM,YR1
HG01136,CLM,,,YR5
HG01150,CLM12,female,CLM,YR3
HG01167,,,PUR,YR4
HG01175,PR36,female,PUR,YR1
HG01176,PUR,,,YR5
HG01192,PR40,male,PUR,YR3
HG01252,CLM14,male,CLM,YR3
HG01255,CLM15,male,CLM,YR2
HG01258,CLM16,male,CLM,YR1
HG01261,CLM17,male,CLM,YR3
HG01346,CLM27,female,CLM,YR2
HG01358,CLM31,male,CLM,YR1
HG01361,CLM32,female,CLM,YR1
HG01374,CLM,,,YR5
HG01433,CLM43,male,CLM,YR2
HG01479,CLM,,,YR5
HG01496,CLM64,female,CLM,YR2
HG01516,IBS,,,YR5
HG01522,IBS,,,YR5
HG01530,NaN,male,IBS,YR3
HG01610,IBS,,,YR5
HG01624,IBS,,,YR5
HG01700,IBS,,,YR5
HG01766,,,IBS,YR4
HG01784,NaN,female,IBS,YR3
HG01786,NaN,female,IBS,YR4
HG01796,CDX,,,YR5
HG01798,,,CDX,YR4
HG01884,BB03,female,ACB,YR2
HG01891,BB05,female,ACB,YR1
HG01894,,,ACB,YR4
HG01928,PEL011,male,PEL,YR1
HG01934,PEL013,male,PEL,YR2
HG01940,PEL015,female,PEL,YR3
