sample_id,release,filetype,filename,path,data_type,production,coverage,deepconsensus_coverage,deepconsensus_filename,deepconsensus_path,ccs_algorithm,basecaller,basecaller_version,study,accession,bioproject_accession,biosample_accession,design_description,notes,generator_contact,generator_facility,library_id,library_strategy,library_source,library_selection,library_layout,shear_method,size_selection,platform,instrument_model,seq_plate_chemistry_version,polymerase_version,total_reads,total_bp,total_gbp,mean,min,max,n25,n50,n75,quartile_25,quartile_50,quartile_75,ntsm_score,mm_tag,primrose_filename,mm_review,mm_remove,lima_version,lima_float_version
HG00097,2,bam,m84046_230716_051716_s3.hifi_reads.bc2086.bam,s3://human-pangenomics/working/HPRC/HG00097/raw_data/PacBio_HiFi/m84046_230716_051716_s3.hifi_reads.bc2086.bam,unaligned reads,UW_HPRC_HiFi_Y4_AND_Y3_Topoff,18.1,,,,7.0.0,revio_deepconsensus,7.0.0,SRP305758,SRR29483082,PRJNA701308,SAMN41021660,HiFi sequencing of 20kb fractionated gDNA,,kmiyamot@uw.edu,University of Washington,PG00097.HFSS_m84046_230716_051716_s3,WGS,GENOMIC,size fractionation,single,Megaruptor 3,PippinHT,PACBIO_SMRT,Revio,C1,P1,2730343,56111550391,56.11,20551,77,60165,18218,20516,23811,17766,19795,22777,0.547261,TRUE,,TRUE,FALSE,2.7.1,2.0701
HG00097,2,bam,m84046_230718_223822_s1.hifi_reads.bc2086.bam,s3://human-pangenomics/working/HPRC/HG00097/raw_data/PacBio_HiFi/m84046_230718_223822_s1.hifi_reads.bc2086.bam,unaligned reads,UW_HPRC_HiFi_Y4_AND_Y3_Topoff,26.4,,,,7.0.0,revio_deepconsensus,7.0.0,SRP305758,SRR29483084,PRJNA701308,SAMN41021660,HiFi sequencing of 20kb fractionated gDNA,,kmiyamot@uw.edu,University of Washington,PG00097.HFSS_m84046_230718_223822_s1,WGS,GENOMIC,size fractionation,single,Megaruptor 3,PippinHT,PACBIO_SMRT,Revio,C1,P1,4013688,81988073357,81.99,20427,131,58103,18134,20372,23618,17693,19676,22592,0.539019,TRUE,,TRUE,FALSE,2.7.1,2.0701
HG00097,2,bam,m84046_230716_054822_s4.hifi_reads.bc2086.bam,s3://human-pangenomics/working/HPRC/HG00097/raw_data/PacBio_HiFi/m84046_230716_054822_s4.hifi_reads.bc2086.bam,unaligned reads,UW_HPRC_HiFi_Y4_AND_Y3_Topoff,19.2,,,,7.0.0,revio_deepconsensus,7.0.0,SRP305758,SRR29483083,PRJNA701308,SAMN41021660,HiFi sequencing of 20kb fractionated gDNA,,kmiyamot@uw.edu,University of Washington,PG00097.HFSS_m84046_230716_054822_s4,WGS,GENOMIC,size fractionation,single,Megaruptor 3,PippinHT,PACBIO_SMRT,Revio,C1,P1,2892254,59475971630,59.48,20563,135,53858,18220,20531,23848,17766,19800,22810,0.533559,TRUE,,TRUE,FALSE,2.7.1,2.0701
HG00099,2,bam,m84046_230517_211630_s4.hifi_reads.bc2012.bam,s3://human-pangenomics/working/HPRC/HG00099/raw_data/PacBio_HiFi/m84046_230517_211630_s4.hifi_reads.bc2012.bam,unaligned reads,UW_HPRC_HiFi_Y4_AND_Y3_Topoff,19.8,,,,7.0.0,revio_deepconsensus,7.0.0,SRP305758,SRR29483176,PRJNA701308,SAMN33758778,HiFi sequencing of 20kb fractionated gDNA,,kmiyamot@uw.edu,University of Washington,PG00099_1.HFSS_m84046_230517_211630_s4,WGS,GENOMIC,size fractionation,single,Megaruptor 3,PippinHT,PACBIO_SMRT,Revio,C1,P1,2977212,61484744616,61.48,20651,331,54368,18153,20772,24191,17597,19914,23094,0.521581,TRUE,,TRUE,FALSE,2.7.1,2.0701
HG00106,3,bam,m84081_231112_034048_s4.hifi_reads.bc2070.bam,s3://human-pangenomics/working/HPRC/HG00106/raw_data/PacBio_HiFi/m84081_231112_034048_s4.hifi_reads.bc2070.bam,unaligned reads,WUSTL_HPRC_HiFi_Year4,5.29,,,,7.0.0,revio_deepconsensus,,SRP305758,SRR29396914,PRJNA701308,SAMN41021696,sequencing of 20 kb fractionated,,tgraves@wustl.edu,Washington University,HG00106_lib1_m84081_231112_034048_s4_m84081_231112_034048_s4,WGS,GENOMIC,size fractionation,single,Megaruptor 1,SageELF,PACBIO_SMRT,Revio,Revio P1,Revio C1,823862,17464604937,17.46,21198,134,59221,18546,21296,25075,17936,20335,23756,0.60738,TRUE,,,,,
HG00106,3,bam,m84081_231027_202621_s3.hifi_reads.bc2070.bam,s3://human-pangenomics/working/HPRC/HG00106/raw_data/PacBio_HiFi/m84081_231027_202621_s3.hifi_reads.bc2070.bam,unaligned reads,WUSTL_HPRC_HiFi_Year4,26.22,,,,7.0.0,revio_deepconsensus,,SRP305758,SRR29396926,PRJNA701308,SAMN41021696,sequencing of 20 kb fractionated,,tgraves@wustl.edu,Washington University,HG00106_lib1_m84081_231027_202621_s3_m84081_231027_202621_s3,WGS,GENOMIC,size fractionation,single,Megaruptor 1,SageELF,PACBIO_SMRT,Revio,Revio P1,Revio C1,4099673,86515704685,86.52,21103,96,77433,18509,21228,24912,17907,20285,23650,0.489324,TRUE,,,,,
HG00106,3,bam,m84081_231029_023649_s3.hifi_reads.bc2070.bam,s3://human-pangenomics/working/HPRC/HG00106/raw_data/PacBio_HiFi/m84081_231029_023649_s3.hifi_reads.bc2070.bam,unaligned reads,WUSTL_HPRC_HiFi_Year4,26.24,,,,7.0.0,revio_deepconsensus,,SRP305758,SRR29396925,PRJNA701308,SAMN41021696,sequencing of 20 kb fractionated,,tgraves@wustl.edu,Washington University,HG00106_lib1_m84081_231029_023649_s3_m84081_231029_023649_s3,WGS,GENOMIC,size fractionation,single,Megaruptor 1,SageELF,PACBIO_SMRT,Revio,Revio P1,Revio C1,4002067,86599346640,86.6,21638,120,67088,18829,21822,25832,18150,20737,24408,0.45646,TRUE,,,,,
HG00116,3,bam,m84046_240617_225739_s3.hifi_reads.bc2001.bam,s3://human-pangenomics/working/HPRC/HG00116/raw_data/PacBio_HiFi/m84046_240617_225739_s3.hifi_reads.bc2001.bam,unaligned reads,UW_HPRC_HiFi_Y5,7.41,,,,8.0.1,revio_deepconsensus,8.0.1,SRP305758,,PRJNA701308,,HiFi sequencing of 19kb fractionated gDNA,,University of Washington,kmiyamot@uw.edu,,WGS,GENOMIC,size fractionation,single,Megaruptor 3,Pippin HT,PACBIO_SMRT,Revio,C1,P1,1435517,24451983254,24.45,17033,99,56173,15465,17041,19120,15202,16653,18637,0.61734,TRUE,,,,,
HG00116,3,bam,m84046_240608_005036_s1.hifi_reads.bc2001.bam,s3://human-pangenomics/working/HPRC/HG00116/raw_data/PacBio_HiFi/m84046_240608_005036_s1.hifi_reads.bc2001.bam,unaligned reads,UW_HPRC_HiFi_Y5,8.59,,,,8.0.1,revio_deepconsensus,8.0.1,SRP305758,,PRJNA701308,,HiFi sequencing of 19kb fractionated gDNA,,University of Washington,kmiyamot@uw.edu,,WGS,GENOMIC,size fractionation,single,Megaruptor 3,Pippin HT,PACBIO_SMRT,Revio,C1,P1,1631639,28339017838,28.34,17368,86,54989,15742,17433,19553,15455,17010,19075,0.602827,TRUE,,,,,
HG00116,3,bam,m84046_240606_010120_s2.hifi_reads.bc2001.bam,s3://human-pangenomics/working/HPRC/HG00116/raw_data/PacBio_HiFi/m84046_240606_010120_s2.hifi_reads.bc2001.bam,unaligned reads,UW_HPRC_HiFi_Y5,11.88,,,,8.0.1,revio_deepconsensus,8.0.1,SRP305758,,PRJNA701308,,HiFi sequencing of 19kb fractionated gDNA,,University of Washington,kmiyamot@uw.edu,,WGS,GENOMIC,size fractionation,single,Megaruptor 3,Pippin HT,PACBIO_SMRT,Revio,C1,P1,2270152,39202897707,39.2,17268,67,53412,15661,17314,19421,15382,16904,18939,0.588344,TRUE,,,,,
