sample_id,path,total_reads,filename,title,study,bioproject_accession,accession,biosample_accession,library_id,data_type,filetype,cell_type,generator_facility,production,iso_filename,platform_unit_1,platform_unit_2,barcode,basecaller,basecaller_version,platform,instrument_model,iso_library_id,ccs_algorithm,pbtrim_version,jasmine_version,lima_version,refine_version,library_strategy,library_source,library_selection,library_layout,shear_method,size_selection,design_description,polymerase_version,seq_plate_chemistry_version,pool,ntsm_score,similarity,check-flnc reads,generator_contact
HG00097,s3://human-pangenomics/working/HPRC/HG00097/raw_data/PacBio_Kinnex/HG00097.lymph.m84203_240914_042802_s4-m84203_240914_022843_s3.flnc.bam,12420586,HG00097.lymph.m84203_240914_042802_s4-m84203_240914_022843_s3.flnc.bam,flnc bams of PacBio HiFi iso-seq sequencing of cDNA kinnex libraries,SRP305758,PRJNA701308,,,HG00097.lymph.m84203_240914_042802_s4-m84203_240914_022843_s3,unaligned reads,bam,lymph,Rockefeller University,RU_Y5_Kinnex,flnc-4.bam,m84203_240914_042802_s4,m84203_240914_022843_s3,bc04,,5,PACBIO,REVIO,HPRC_Kinnex_Pool14,8.0.1,1.1.0,2.2.1,2.10.0,4.1.2,isoseq,transcriptomic,cDNA,single,NA,NA,PacBio HiFi iso-seq sequencing of cDNA kinnex libraries,P1,C1,HPRC_Kinnex_Pool014,0.172788,1,TRUE,iviolich@ucsc.edu
HG00099,s3://human-pangenomics/working/HPRC/HG00099/raw_data/PacBio_Kinnex/HG00099.lymph.m84081_240722_230051_s3-m84081_240723_010018_s4.flnc.bam,19956012,HG00099.lymph.m84081_240722_230051_s3-m84081_240723_010018_s4.flnc.bam,flnc bams of PacBio HiFi iso-seq sequencing of cDNA kinnex libraries,SRP305758,PRJNA701308,,,HG00099.lymph.m84081_240722_230051_s3-m84081_240723_010018_s4,unaligned reads,bam,lymph,Washington University,WUSTL_HPRC_Y5_Per_Pool_Kinnex,flnc-7.bam,m84081_240722_230051_s3,m84081_240723_010018_s4,bc07,,5,PACBIO,REVIO,HPRC_Kinnex_Pool_15,8.0.0,1.0.0,2.2.0,2.9.0,4.1.1,isoseq,transcriptomic,cDNA,single,NA,NA,PacBio HiFi iso-seq sequencing of cDNA kinnex libraries,P1,C1,HPRC_Kinnex_Pool15,0.163701,1,TRUE,iviolich@ucsc.edu
HG00106,s3://human-pangenomics/working/HPRC/HG00106/raw_data/PacBio_Kinnex/HG00106.lymph.m84203_241028_200231_s4-m84203_241028_220156_s1.flnc.bam,14177680,HG00106.lymph.m84203_241028_200231_s4-m84203_241028_220156_s1.flnc.bam,flnc bams of PacBio HiFi iso-seq sequencing of cDNA kinnex libraries,SRP305758,PRJNA701308,,,HG00106.lymph.m84203_241028_200231_s4-m84203_241028_220156_s1,unaligned reads,bam,lymph,Rockefeller University,RU_Y5_Kinnex,flnc-3.bam,m84203_241028_200231_s4,m84203_241028_220156_s1,bc03,,5,PACBIO,REVIO,HPRC_Kinnex_Pool16,8.0.1,1.1.0,2.2.1,2.10.0,4.1.2,isoseq,transcriptomic,cDNA,single,NA,NA,PacBio HiFi iso-seq sequencing of cDNA kinnex libraries,P1,C1,HPRC_Kinnex_Pool016,0.178181,1,TRUE,iviolich@ucsc.edu
HG00116,s3://human-pangenomics/working/HPRC/HG00116/raw_data/PacBio_Kinnex/HG00116.lymph.m84203_240904_202625_s1-m84203_240904_222542_s2.flnc.bam,11983147,HG00116.lymph.m84203_240904_202625_s1-m84203_240904_222542_s2.flnc.bam,flnc bams of PacBio HiFi iso-seq sequencing of cDNA kinnex libraries,SRP305758,PRJNA701308,,,HG00116.lymph.m84203_240904_202625_s1-m84203_240904_222542_s2,unaligned reads,bam,lymph,Rockefeller University,RU_Y5_Kinnex,flnc-4.bam,m84203_240904_202625_s1,m84203_240904_222542_s2,bc04,,5,PACBIO,REVIO,HPRC_Kinnex_Pool7,8.0.1,1.1.0,2.2.1,2.10.0,4.1.2,isoseq,transcriptomic,cDNA,single,NA,NA,PacBio HiFi iso-seq sequencing of cDNA kinnex libraries,P1,C1,HPRC_Kinnex_Pool007,0.175717,1,TRUE,iviolich@ucsc.edu
HG00117,s3://human-pangenomics/working/HPRC/HG00117/raw_data/PacBio_Kinnex/HG00117.lymph.m84203_241028_200231_s4-m84203_241028_220156_s1.flnc.bam,14591211,HG00117.lymph.m84203_241028_200231_s4-m84203_241028_220156_s1.flnc.bam,flnc bams of PacBio HiFi iso-seq sequencing of cDNA kinnex libraries,SRP305758,PRJNA701308,,,HG00117.lymph.m84203_241028_200231_s4-m84203_241028_220156_s1,unaligned reads,bam,lymph,Rockefeller University,RU_Y5_Kinnex,flnc-4.bam,m84203_241028_200231_s4,m84203_241028_220156_s1,bc04,,5,PACBIO,REVIO,HPRC_Kinnex_Pool16,8.0.1,1.1.0,2.2.1,2.10.0,4.1.2,isoseq,transcriptomic,cDNA,single,NA,NA,PacBio HiFi iso-seq sequencing of cDNA kinnex libraries,P1,C1,HPRC_Kinnex_Pool016,0.207924,1,TRUE,iviolich@ucsc.edu
HG00119,s3://human-pangenomics/working/HPRC/HG00119/raw_data/PacBio_Kinnex/HG00119.lymph.m84046_240727_125908_s2.flnc.bam,7362515,HG00119.lymph.m84046_240727_125908_s2.flnc.bam,flnc bams of PacBio HiFi iso-seq sequencing of cDNA kinnex libraries,SRP305758,PRJNA701308,,,HG00119.lymph.m84046_240727_125908_s2,unaligned reads,bam,lymph,University of Washington,UW_HPRC_Y5_Kinnex,flnc-7.bam,m84046_240727_125908_s2,NA,bc07,,5,PACBIO,REVIO,HPRC_Pool004.KN,8.0.1,1.1.0,2.2.1,2.10.0,4.1.2,isoseq,transcriptomic,cDNA,single,NA,NA,PacBio HiFi iso-seq sequencing of cDNA kinnex libraries,P1,C1,HPRC_Pool004.KN,0.196202,1,TRUE,iviolich@ucsc.edu
HG00119,s3://human-pangenomics/working/HPRC/HG00119/raw_data/PacBio_Kinnex/HG00119.lymph.m84046_240727_105921_s1.flnc.bam,7142827,HG00119.lymph.m84046_240727_105921_s1.flnc.bam,flnc bams of PacBio HiFi iso-seq sequencing of cDNA kinnex libraries,SRP305758,PRJNA701308,,,HG00119.lymph.m84046_240727_105921_s1,unaligned reads,bam,lymph,University of Washington,UW_HPRC_Y5_Kinnex,flnc-7.bam,m84046_240727_105921_s1,NA,bc07,,5,PACBIO,REVIO,HPRC_Pool004.KN,8.0.1,1.1.0,2.2.1,2.10.0,4.1.2,isoseq,transcriptomic,cDNA,single,NA,NA,PacBio HiFi iso-seq sequencing of cDNA kinnex libraries,P1,C1,HPRC_Pool004.KN,0.199978,1,TRUE,iviolich@ucsc.edu
HG00120,s3://human-pangenomics/working/HPRC/HG00120/raw_data/PacBio_Kinnex/HG00120.lymph.m84203_240818_033654_s1-m84203_240818_053625_s2.flnc.bam,13728649,HG00120.lymph.m84203_240818_033654_s1-m84203_240818_053625_s2.flnc.bam,flnc bams of PacBio HiFi iso-seq sequencing of cDNA kinnex libraries,SRP305758,PRJNA701308,,,HG00120.lymph.m84203_240818_033654_s1-m84203_240818_053625_s2,unaligned reads,bam,lymph,Rockefeller University,RU_Y5_Kinnex,flnc-2.bam,m84203_240818_033654_s1,m84203_240818_053625_s2,bc02,,5,PACBIO,REVIO,HPRC_Kinnex_Pool4,8.0.1,1.1.0,2.2.1,2.10.0,4.1.2,isoseq,transcriptomic,cDNA,single,NA,NA,PacBio HiFi iso-seq sequencing of cDNA kinnex libraries,P1,C1,HPRC_Kinnex_Pool004,0.19562,1,TRUE,iviolich@ucsc.edu
HG00126,s3://human-pangenomics/working/HPRC/HG00126/raw_data/PacBio_Kinnex/HG00126.lymph.m84081_240728_071012_s1-m84081_240728_051033_s2.flnc.bam,16747362,HG00126.lymph.m84081_240728_071012_s1-m84081_240728_051033_s2.flnc.bam,flnc bams of PacBio HiFi iso-seq sequencing of cDNA kinnex libraries,SRP305758,PRJNA701308,,,HG00126.lymph.m84081_240728_071012_s1-m84081_240728_051033_s2,unaligned reads,bam,lymph,Washington University,WUSTL_HPRC_Y5_Per_Pool_Kinnex,flnc-3.bam,m84081_240728_071012_s1,m84081_240728_051033_s2,bc03,,5,PACBIO,REVIO,HPRC_Kinnex_Pool_19,8.0.0,1.0.0,2.2.0,2.9.0,4.1.1,isoseq,transcriptomic,cDNA,single,NA,NA,PacBio HiFi iso-seq sequencing of cDNA kinnex libraries,P1,C1,HPRC_Kinnex_Pool19,0.167472,1,TRUE,iviolich@ucsc.edu
HG00128,s3://human-pangenomics/working/HPRC/HG00128/raw_data/PacBio_Kinnex/HG00128.lymph.m84081_240728_110915_s4-m84081_240728_090940_s3.flnc.bam,13721123,HG00128.lymph.m84081_240728_110915_s4-m84081_240728_090940_s3.flnc.bam,flnc bams of PacBio HiFi iso-seq sequencing of cDNA kinnex libraries,SRP305758,PRJNA701308,,,HG00128.lymph.m84081_240728_110915_s4-m84081_240728_090940_s3,unaligned reads,bam,lymph,Washington University,WUSTL_HPRC_Y5_Per_Pool_Kinnex,flnc-3.bam,m84081_240728_110915_s4,m84081_240728_090940_s3,bc07,,5,PACBIO,REVIO,HPRC_Kinnex_Pool_20,8.0.0,1.0.0,2.2.0,2.9.0,4.1.1,isoseq,transcriptomic,cDNA,single,NA,NA,PacBio HiFi iso-seq sequencing of cDNA kinnex libraries,P1,C1,HPRC_Kinnex_Pool20,0.179282,1,TRUE,iviolich@ucsc.edu
