sample_id,filename,filetype,path,total_gbp,coverage,n50
HG00097,HG00097_r10-hifiasm-correct.ec.ont.fq.gz,fq.gz,s3://human-pangenomics/submissions/28c7b12d-1f66-43dd-ac7e-f7d9893d1b7d--R3_ONT_hifiasm_hybrid_corrected/HG00097_r10-hifiasm-correct.ec.ont.fq.gz,176.744,53.56,94612
HG00099,HG00099_r10-hifiasm-correct.ec.ont.fq.gz,fq.gz,s3://human-pangenomics/submissions/28c7b12d-1f66-43dd-ac7e-f7d9893d1b7d--R3_ONT_hifiasm_hybrid_corrected/HG00099_r10-hifiasm-correct.ec.ont.fq.gz,169.101,51.24,109376
HG00106,HG00106_r10-hifiasm-correct.ec.ont.fq.gz,fq.gz,s3://human-pangenomics/submissions/28c7b12d-1f66-43dd-ac7e-f7d9893d1b7d--R3_ONT_hifiasm_hybrid_corrected/HG00106_r10-hifiasm-correct.ec.ont.fq.gz,197.11,59.73,94800
HG00116,HG00116_r10-hifiasm-correct.ec.ont.fq.gz,fq.gz,s3://human-pangenomics/submissions/28c7b12d-1f66-43dd-ac7e-f7d9893d1b7d--R3_ONT_hifiasm_hybrid_corrected/HG00116_r10-hifiasm-correct.ec.ont.fq.gz,191.802,58.12,102983
HG00117,HG00117_r10-hifiasm-correct.ec.ont.fq.gz,fq.gz,s3://human-pangenomics/submissions/28c7b12d-1f66-43dd-ac7e-f7d9893d1b7d--R3_ONT_hifiasm_hybrid_corrected/HG00117_r10-hifiasm-correct.ec.ont.fq.gz,217.414,65.88,98913
HG00119,HG00119_r10-hifiasm-correct.ec.ont.fq.gz,fq.gz,s3://human-pangenomics/submissions/28c7b12d-1f66-43dd-ac7e-f7d9893d1b7d--R3_ONT_hifiasm_hybrid_corrected/HG00119_r10-hifiasm-correct.ec.ont.fq.gz,218.98,66.36,79404
HG00120,HG00120_r10-hifiasm-correct.ec.ont.fq.gz,fq.gz,s3://human-pangenomics/submissions/28c7b12d-1f66-43dd-ac7e-f7d9893d1b7d--R3_ONT_hifiasm_hybrid_corrected/HG00120_r10-hifiasm-correct.ec.ont.fq.gz,190.035,57.59,115705
HG00126,HG00126_r10-hifiasm-correct.ec.ont.fq.gz,fq.gz,s3://human-pangenomics/submissions/28c7b12d-1f66-43dd-ac7e-f7d9893d1b7d--R3_ONT_hifiasm_hybrid_corrected/HG00126_r10-hifiasm-correct.ec.ont.fq.gz,226.962,68.78,109922
HG00128,HG00128_r10-hifiasm-correct.ec.ont.fq.gz,fq.gz,s3://human-pangenomics/submissions/28c7b12d-1f66-43dd-ac7e-f7d9893d1b7d--R3_ONT_hifiasm_hybrid_corrected/HG00128_r10-hifiasm-correct.ec.ont.fq.gz,184.635,55.95,97903
HG00133,HG00133_r10-hifiasm-correct.ec.ont.fq.gz,fq.gz,s3://human-pangenomics/submissions/28c7b12d-1f66-43dd-ac7e-f7d9893d1b7d--R3_ONT_hifiasm_hybrid_corrected/HG00133_r10-hifiasm-correct.ec.ont.fq.gz,210.001,63.64,108753
HG00140,HG00140_r10-hifiasm-correct.ec.ont.fq.gz,fq.gz,s3://human-pangenomics/submissions/28c7b12d-1f66-43dd-ac7e-f7d9893d1b7d--R3_ONT_hifiasm_hybrid_corrected/HG00140_r10-hifiasm-correct.ec.ont.fq.gz,157.449,47.71,103476
HG00146,HG00146_r10-hifiasm-correct.ec.ont.fq.gz,fq.gz,s3://human-pangenomics/submissions/28c7b12d-1f66-43dd-ac7e-f7d9893d1b7d--R3_ONT_hifiasm_hybrid_corrected/HG00146_r10-hifiasm-correct.ec.ont.fq.gz,237.901,72.09,106198
HG00150,HG00150_r10-hifiasm-correct.ec.ont.fq.gz,fq.gz,s3://human-pangenomics/submissions/28c7b12d-1f66-43dd-ac7e-f7d9893d1b7d--R3_ONT_hifiasm_hybrid_corrected/HG00150_r10-hifiasm-correct.ec.ont.fq.gz,178.722,54.16,107767
HG00232,HG00232_r10-hifiasm-correct.ec.ont.fq.gz,fq.gz,s3://human-pangenomics/submissions/28c7b12d-1f66-43dd-ac7e-f7d9893d1b7d--R3_ONT_hifiasm_hybrid_corrected/HG00232_r10-hifiasm-correct.ec.ont.fq.gz,62.62,18.98,69620
